ind,synbiohub_uri,igem_link,team_name
81,https://synbiohub.org/public/igem/BBa_K1462980/1,http://parts.igem.org/Part:BBa_K1462980,iGEM14_SCUT
82,https://synbiohub.org/public/igem/BBa_K1462990/1,http://parts.igem.org/Part:BBa_K1462990,iGEM14_SCUT
83,https://synbiohub.org/public/igem/BBa_K1407027/1,http://parts.igem.org/Part:BBa_K1407027,iGEM14_BIT
84,https://synbiohub.org/public/igem/BBa_K1431302/1,http://parts.igem.org/Part:BBa_K1431302,iGEM14_SUSTC-Shenzhen
85,https://synbiohub.org/public/igem/BBa_K1407000/1,http://parts.igem.org/Part:BBa_K1407000,iGEM14_BIT
86,https://synbiohub.org/public/igem/BBa_K1407028/1,http://parts.igem.org/Part:BBa_K1407028,iGEM14_BIT
87,https://synbiohub.org/public/igem/BBa_K1407001/1,http://parts.igem.org/Part:BBa_K1407001,iGEM14_BIT
88,https://synbiohub.org/public/igem/BBa_K1407031/1,http://parts.igem.org/Part:BBa_K1407031,iGEM14_BIT
89,https://synbiohub.org/public/igem/BBa_K1407035/1,http://parts.igem.org/Part:BBa_K1407035,iGEM14_BIT
90,https://synbiohub.org/public/igem/BBa_K1407002/1,http://parts.igem.org/Part:BBa_K1407002,iGEM14_BIT
91,https://synbiohub.org/public/igem/BBa_K1407003/1,http://parts.igem.org/Part:BBa_K1407003,iGEM14_BIT
92,https://synbiohub.org/public/igem/BBa_K1407004/1,http://parts.igem.org/Part:BBa_K1407004,iGEM14_BIT
93,https://synbiohub.org/public/igem/BBa_K1407005/1,http://parts.igem.org/Part:BBa_K1407005,iGEM14_BIT
94,https://synbiohub.org/public/igem/BBa_K1407006/1,http://parts.igem.org/Part:BBa_K1407006,iGEM14_BIT
95,https://synbiohub.org/public/igem/BBa_K1407007/1,http://parts.igem.org/Part:BBa_K1407007,iGEM14_BIT
96,https://synbiohub.org/public/igem/BBa_K1407008/1,http://parts.igem.org/Part:BBa_K1407008,iGEM14_BIT
97,https://synbiohub.org/public/igem/BBa_K1407009/1,http://parts.igem.org/Part:BBa_K1407009,iGEM14_BIT
98,https://synbiohub.org/public/igem/BBa_K1407010/1,http://parts.igem.org/Part:BBa_K1407010,iGEM14_BIT
99,https://synbiohub.org/public/igem/BBa_K1407011/1,http://parts.igem.org/Part:BBa_K1407011,iGEM14_BIT
100,https://synbiohub.org/public/igem/BBa_K1407012/1,http://parts.igem.org/Part:BBa_K1407012,iGEM14_BIT
101,https://synbiohub.org/public/igem/BBa_K1336007/1,http://parts.igem.org/Part:BBa_K1336007,iGEM14_UCL
102,https://synbiohub.org/public/igem/BBa_K1407013/1,http://parts.igem.org/Part:BBa_K1407013,iGEM14_BIT
103,https://synbiohub.org/public/igem/BBa_K1462350/1,http://parts.igem.org/Part:BBa_K1462350,iGEM14_SCUT
104,https://synbiohub.org/public/igem/BBa_K1407014/1,http://parts.igem.org/Part:BBa_K1407014,iGEM14_BIT
105,https://synbiohub.org/public/igem/BBa_K1462360/1,http://parts.igem.org/Part:BBa_K1462360,iGEM14_SCUT
106,https://synbiohub.org/public/igem/BBa_K1407016/1,http://parts.igem.org/Part:BBa_K1407016,iGEM14_BIT
107,https://synbiohub.org/public/igem/BBa_K1462400/1,http://parts.igem.org/Part:BBa_K1462400,iGEM14_SCUT
108,https://synbiohub.org/public/igem/BBa_K1407015/1,http://parts.igem.org/Part:BBa_K1407015,iGEM14_BIT
109,https://synbiohub.org/public/igem/BBa_K1462410/1,http://parts.igem.org/Part:BBa_K1462410,iGEM14_SCUT
110,https://synbiohub.org/public/igem/BBa_K1462420/1,http://parts.igem.org/Part:BBa_K1462420,iGEM14_SCUT
111,https://synbiohub.org/public/igem/BBa_K1481001/1,http://parts.igem.org/Part:BBa_K1481001,iGEM14_PoznanBioInf
112,https://synbiohub.org/public/igem/BBa_K1438013/1,http://parts.igem.org/Part:BBa_K1438013,iGEM14_Berlin
113,https://synbiohub.org/public/igem/BBa_K1438023/1,http://parts.igem.org/Part:BBa_K1438023,iGEM14_Berlin
114,https://synbiohub.org/public/igem/BBa_K1438020/1,http://parts.igem.org/Part:BBa_K1438020,iGEM14_Berlin
115,https://synbiohub.org/public/igem/BBa_K1438021/1,http://parts.igem.org/Part:BBa_K1438021,iGEM14_Berlin
116,https://synbiohub.org/public/igem/BBa_K1438027/1,http://parts.igem.org/Part:BBa_K1438027,iGEM14_Berlin
117,https://synbiohub.org/public/igem/BBa_K1438028/1,http://parts.igem.org/Part:BBa_K1438028,iGEM14_Berlin
118,https://synbiohub.org/public/igem/BBa_K1438025/1,http://parts.igem.org/Part:BBa_K1438025,iGEM14_Berlin
119,https://synbiohub.org/public/igem/BBa_K1438022/1,http://parts.igem.org/Part:BBa_K1438022,iGEM14_Berlin
120,https://synbiohub.org/public/igem/BBa_K1438024/1,http://parts.igem.org/Part:BBa_K1438024,iGEM14_Berlin
121,https://synbiohub.org/public/igem/BBa_K1438026/1,http://parts.igem.org/Part:BBa_K1438026,iGEM14_Berlin
