Spurious,Real
https://synbiohub.org/public/igem/BBa_J58000/1,https://synbiohub.org/public/igem/BBa_K1054022/1
https://synbiohub.org/public/igem/BBa_K245030/1,https://synbiohub.org/public/igem/BBa_K1412003/1
https://synbiohub.org/public/igem/BBa_K1725205/1,https://synbiohub.org/public/igem/BBa_K115050/1
https://synbiohub.org/public/igem/BBa_J45991/1,https://synbiohub.org/public/igem/BBa_Z0251/1
https://synbiohub.org/public/igem/BBa_K827045/1,https://synbiohub.org/public/igem/BBa_K2123105/1
https://synbiohub.org/public/igem/BBa_M11101/1,https://synbiohub.org/public/igem/BBa_K199006/1
https://synbiohub.org/public/igem/BBa_I725017/1,https://synbiohub.org/public/igem/BBa_I13998/1
https://synbiohub.org/public/igem/BBa_K827050/1,https://synbiohub.org/public/igem/BBa_M13011/1
https://synbiohub.org/public/igem/BBa_K827038/1,https://synbiohub.org/public/igem/BBa_K612005/1
https://synbiohub.org/public/igem/BBa_K2116051/1,https://synbiohub.org/public/igem/BBa_K872000/1
https://synbiohub.org/public/igem/BBa_I719008/1,https://synbiohub.org/public/igem/BBa_J72043/1
https://synbiohub.org/public/igem/BBa_I712000/1,https://synbiohub.org/public/igem/BBa_J100220/1
https://synbiohub.org/public/igem/BBa_K132029/1,https://synbiohub.org/public/igem/BBa_I757012/1
https://synbiohub.org/public/igem/BBa_K404001/1,https://synbiohub.org/public/igem/BBa_M1533/1
https://synbiohub.org/public/igem/BBa_K245130/1,https://synbiohub.org/public/igem/BBa_K801032/1
https://synbiohub.org/public/igem/BBa_C0600/1,https://synbiohub.org/public/igem/BBa_M31965/1
https://synbiohub.org/public/igem/BBa_K1740004/1,https://synbiohub.org/public/igem/BBa_K337040/1
https://synbiohub.org/public/igem/BBa_K2066539/1,https://synbiohub.org/public/igem/BBa_M36102/1
https://synbiohub.org/public/igem/BBa_M45444/1,https://synbiohub.org/public/igem/BBa_K936021/1
https://synbiohub.org/public/igem/BBa_K827017/1,https://synbiohub.org/public/igem/BBa_M31231/1
https://synbiohub.org/public/igem/BBa_K782048/1,https://synbiohub.org/public/igem/BBa_K2083012/1
https://synbiohub.org/public/igem/BBa_I719006/1,https://synbiohub.org/public/igem/BBa_K1710000/1
https://synbiohub.org/public/igem/BBa_M45055/1,https://synbiohub.org/public/igem/BBa_K157020/1
https://synbiohub.org/public/igem/BBa_K1462040/1,https://synbiohub.org/public/igem/BBa_K499959/1
https://synbiohub.org/public/igem/BBa_J4906/1,https://synbiohub.org/public/igem/BBa_K525740/1
https://synbiohub.org/public/igem/BBa_K827023/1,https://synbiohub.org/public/igem/BBa_K112215/1
https://synbiohub.org/public/igem/BBa_K294902/1,https://synbiohub.org/public/igem/BBa_K1232001/1
https://synbiohub.org/public/igem/BBa_K631039/1,https://synbiohub.org/public/igem/BBa_K1989003/1
https://synbiohub.org/public/igem/BBa_I723123/1,https://synbiohub.org/public/igem/BBa_K125502/1
https://synbiohub.org/public/igem/BBa_J70089/1,https://synbiohub.org/public/igem/BBa_K797009/1
https://synbiohub.org/public/igem/BBa_K827026/1,https://synbiohub.org/public/igem/BBa_K376002/1
https://synbiohub.org/public/igem/BBa_K782050/1,https://synbiohub.org/public/igem/BBa_K1507020/1
https://synbiohub.org/public/igem/BBa_K1362426/1,https://synbiohub.org/public/igem/BBa_K223035/1
https://synbiohub.org/public/igem/BBa_K157041/1,https://synbiohub.org/public/igem/BBa_K2074033/1
https://synbiohub.org/public/igem/BBa_T2004/1,https://synbiohub.org/public/igem/BBa_M36914/1
https://synbiohub.org/public/igem/BBa_K1695050/1,https://synbiohub.org/public/igem/BBa_K892012/1
https://synbiohub.org/public/igem/BBa_K245134/1,https://synbiohub.org/public/igem/BBa_K563036/1
https://synbiohub.org/public/igem/BBa_K631002/1,https://synbiohub.org/public/igem/BBa_M45447/1
https://synbiohub.org/public/igem/BBa_K2066546/1,https://synbiohub.org/public/igem/BBa_K1809031/1
https://synbiohub.org/public/igem/BBa_K1321303/1,https://synbiohub.org/public/igem/BBa_K115009/1
https://synbiohub.org/public/igem/BBa_J61053/1,https://synbiohub.org/public/igem/BBa_K559000/1
https://synbiohub.org/public/igem/BBa_J58006/1,https://synbiohub.org/public/igem/BBa_K1349005/1
https://synbiohub.org/public/igem/BBa_K185013/1,https://synbiohub.org/public/igem/BBa_J33207/1
https://synbiohub.org/public/igem/BBa_K082006/1,https://synbiohub.org/public/igem/BBa_K1875005/1
https://synbiohub.org/public/igem/BBa_M11108/1,https://synbiohub.org/public/igem/BBa_I712017/1
https://synbiohub.org/public/igem/BBa_K896922/1,https://synbiohub.org/public/igem/BBa_K314973/1
https://synbiohub.org/public/igem/BBa_K1778007/1,https://synbiohub.org/public/igem/BBa_K558008/1
https://synbiohub.org/public/igem/BBa_J52990/1,https://synbiohub.org/public/igem/BBa_K945001/1
https://synbiohub.org/public/igem/BBa_K827048/1,https://synbiohub.org/public/igem/BBa_K349101/1
https://synbiohub.org/public/igem/BBa_K827033/1,https://synbiohub.org/public/igem/BBa_K373000/1
https://synbiohub.org/public/igem/BBa_K827062/1,https://synbiohub.org/public/igem/BBa_K641022/1
https://synbiohub.org/public/igem/BBa_K360052/1,https://synbiohub.org/public/igem/BBa_K1942000/1
https://synbiohub.org/public/igem/BBa_K782054/1,https://synbiohub.org/public/igem/BBa_J61108/1
https://synbiohub.org/public/igem/BBa_K1182425/1,https://synbiohub.org/public/igem/BBa_K1251000/1
https://synbiohub.org/public/igem/BBa_K827057/1,https://synbiohub.org/public/igem/BBa_K1123012/1
https://synbiohub.org/public/igem/BBa_I717011/1,https://synbiohub.org/public/igem/BBa_K156027/1
https://synbiohub.org/public/igem/BBa_K149000/1,https://synbiohub.org/public/igem/BBa_K1114030/1
https://synbiohub.org/public/igem/BBa_K827068/1,https://synbiohub.org/public/igem/BBa_K842014/1
https://synbiohub.org/public/igem/BBa_K387000/1,https://synbiohub.org/public/igem/BBa_M45150/1
https://synbiohub.org/public/igem/BBa_K082005/1,https://synbiohub.org/public/igem/BBa_K2066520/1
https://synbiohub.org/public/igem/BBa_K1362475/1,https://synbiohub.org/public/igem/BBa_K382018/1
https://synbiohub.org/public/igem/BBa_K805020/1,https://synbiohub.org/public/igem/BBa_K1956040/1
https://synbiohub.org/public/igem/BBa_I733000/1,https://synbiohub.org/public/igem/BBa_K1390005/1
https://synbiohub.org/public/igem/BBa_T1001/1,https://synbiohub.org/public/igem/BBa_K349113/1
https://synbiohub.org/public/igem/BBa_K1969023/1,https://synbiohub.org/public/igem/BBa_K1507012/1
https://synbiohub.org/public/igem/BBa_K649107/1,https://synbiohub.org/public/igem/BBa_K1123019/1
https://synbiohub.org/public/igem/BBa_K827065/1,https://synbiohub.org/public/igem/BBa_K377704/1
https://synbiohub.org/public/igem/BBa_T1000/1,https://synbiohub.org/public/igem/BBa_K678014/1
https://synbiohub.org/public/igem/BBa_K1404007/1,https://synbiohub.org/public/igem/BBa_J119141/1
https://synbiohub.org/public/igem/BBa_K133025/1,https://synbiohub.org/public/igem/BBa_K152012/1
https://synbiohub.org/public/igem/BBa_K827003/1,https://synbiohub.org/public/igem/BBa_K1329005/1
https://synbiohub.org/public/igem/BBa_M36117/1,https://synbiohub.org/public/igem/BBa_K199077/1
https://synbiohub.org/public/igem/BBa_K185047/1,https://synbiohub.org/public/igem/BBa_K900005/1
https://synbiohub.org/public/igem/BBa_I728000/1,https://synbiohub.org/public/igem/BBa_K2091002/1
https://synbiohub.org/public/igem/BBa_J70632/1,https://synbiohub.org/public/igem/BBa_K1699003/1
https://synbiohub.org/public/igem/BBa_I732023/1,https://synbiohub.org/public/igem/BBa_J100267/1
https://synbiohub.org/public/igem/BBa_K1479006/1,https://synbiohub.org/public/igem/BBa_J72039/1
https://synbiohub.org/public/igem/BBa_K747097/1,https://synbiohub.org/public/igem/BBa_K1465301/1
https://synbiohub.org/public/igem/BBa_K1725201/1,https://synbiohub.org/public/igem/BBa_K1590009/1
https://synbiohub.org/public/igem/BBa_J29044/1,https://synbiohub.org/public/igem/BBa_K2184016/1
https://synbiohub.org/public/igem/BBa_J37002/1,https://synbiohub.org/public/igem/BBa_K809209/1
